#sample	ecDNA_count
5637_URINARY_TRACT	2
59M_OVARY	2
8305C_THYROID	1
A101D_SKIN	0
A204_SOFT_TISSUE	0
A2780_OVARY	0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2
A704_KIDNEY	0
ABC1_LUNG	2
AGS_STOMACH	0
AU565_BREAST	3
BFTC909_KIDNEY	0
BT20_BREAST	4
BT474_BREAST	4
BT483_BREAST	1
C2BBE1_LARGE_INTESTINE	0
CAKI1_KIDNEY	1
CAL120_BREAST	4
CAL27_UPPER_AERODIGESTIVE_TRACT	0
CAL54_KIDNEY	0
CAL851_BREAST	1
CALU6_LUNG	1
CAMA1_BREAST	1
CAOV3_OVARY	2
CAPAN1_PANCREAS	0
CCK81_LARGE_INTESTINE	0
CHAGOK1_LUNG	1
CHP212_AUTONOMIC_GANGLIA	1
COLO201_LARGE_INTESTINE	2
COLO668_LUNG	1
COLO829_SKIN	0
CORL23_LUNG	3
CORL24_LUNG	0
CORL279_LUNG	2
CORL311_LUNG	3
CORL88_LUNG	1
COV362_OVARY	0
COV644_OVARY	1
DANG_PANCREAS	2
DAOY_CENTRAL_NERVOUS_SYSTEM	0
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0
DMS114_LUNG	2
DMS153_LUNG	0
DMS273_LUNG	3
DMS454_LUNG	1
DMS53_LUNG	1
DU145_PROSTATE	0
DU4475_BREAST	0
EBC1_LUNG	1
EFM192A_BREAST	7
EFM19_BREAST	3
EFO21_OVARY	0
ES2_OVARY	2
FADU_UPPER_AERODIGESTIVE_TRACT	0
FU97_STOMACH	1
FUOV1_OVARY	7
G361_SKIN	0
GAMG_CENTRAL_NERVOUS_SYSTEM	0
GB1_CENTRAL_NERVOUS_SYSTEM	1
GCIY_STOMACH	2
GI1_CENTRAL_NERVOUS_SYSTEM	2
HARA_LUNG	4
HCC1187_BREAST	3
HCC1419_BREAST	3
HCC1428_BREAST	0
HCC1500_BREAST	2
HCC1569_BREAST	4
HCC1599_BREAST	2
HCC15_LUNG	0
HCC1833_LUNG	0
HCC1937_BREAST	1
HCC1954_BREAST	3
HCC202_BREAST	5
HCC2157_BREAST	3
HCC33_LUNG	1
HCC38_BREAST	3
HCC44_LUNG	1
HCC70_BREAST	0
HCC827_LUNG	4
HCC95_LUNG	3
HDQP1_BREAST	1
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
HEPG2_LIVER	0
HGC27_STOMACH	3
HS294T_SKIN	0
HS746T_STOMACH	3
HS944T_SKIN	0
HSC3_UPPER_AERODIGESTIVE_TRACT	0
HT115_LARGE_INTESTINE	1
HT1376_URINARY_TRACT	3
HT144_SKIN	0
HT29_LARGE_INTESTINE	0
IM95_STOMACH	0
JHH1_LIVER	1
JHH7_LIVER	2
JHOS2_OVARY	2
JHUEM1_ENDOMETRIUM	0
KALS1_CENTRAL_NERVOUS_SYSTEM	0
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1
KATOIII_STOMACH	2
KE39_STOMACH	1
KLE_ENDOMETRIUM	1
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
KNS62_LUNG	1
KU1919_URINARY_TRACT	0
KYSE180_OESOPHAGUS	1
KYSE30_OESOPHAGUS	5
KYSE410_OESOPHAGUS	5
KYSE450_OESOPHAGUS	2
KYSE520_OESOPHAGUS	3
KYSE70_OESOPHAGUS	2
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
LC1F_LUNG	0
LK2_LUNG	0
LN18_CENTRAL_NERVOUS_SYSTEM	0
LN229_CENTRAL_NERVOUS_SYSTEM	0
LOVO_LARGE_INTESTINE	0
LU99_LUNG	1
MCF7_BREAST	5
MDAMB134VI_BREAST	2
MDAMB157_BREAST	1
MDAMB175VII_BREAST	2
MDAMB361_BREAST	1
MDAMB453_BREAST	2
MFE280_ENDOMETRIUM	13
MFE319_ENDOMETRIUM	1
MIAPACA2_PANCREAS	0
MKN1_STOMACH	2
MKN45_STOMACH	2
MKN74_STOMACH	1
MKN7_STOMACH	10
MSTO211H_PLEURA	1
NCIH1092_LUNG	1
NCIH1184_LUNG	1
NCIH1299_LUNG	0
NCIH1341_LUNG	0
NCIH1355_LUNG	3
NCIH1435_LUNG	3
NCIH1436_LUNG	2
NCIH1437_LUNG	1
NCIH146_LUNG	1
NCIH157DM_LUNG	1
NCIH1618_LUNG	0
NCIH1651_LUNG	1
NCIH1693_LUNG	3
NCIH1694_LUNG	2
NCIH1703_LUNG	1
NCIH1792_LUNG	4
NCIH1793_LUNG	1
NCIH1836_LUNG	1
NCIH1869_LUNG	1
NCIH1876_LUNG	1
NCIH1930_LUNG	0
NCIH1963_LUNG	2
NCIH196_LUNG	0
NCIH1975_LUNG	0
NCIH2029_LUNG	3
NCIH2030_LUNG	1
NCIH2052_PLEURA	0
NCIH2066_LUNG	7
NCIH2081_LUNG	0
NCIH209_LUNG	0
NCIH211_LUNG	0
NCIH2122_LUNG	1
NCIH2170_LUNG	2
NCIH2171_LUNG	2
NCIH2196_LUNG	0
NCIH2227_LUNG	0
NCIH2228_LUNG	1
NCIH2286_LUNG	0
NCIH23_LUNG	1
NCIH3255_LUNG	3
NCIH358_LUNG	1
NCIH446_LUNG	1
NCIH460_LUNG	1
NCIH508_LARGE_INTESTINE	1
NCIH510_LUNG	6
NCIH520_LUNG	3
NCIH522_LUNG	0
NCIH524_LUNG	2
NCIH526_LUNG	2
NCIH596_LUNG	1
NCIH650_LUNG	1
NCIH661_LUNG	1
NCIH69_LUNG	0
NCIH82_LUNG	2
NCIH838_LUNG	0
NCIH841_LUNG	0
NCIH889_LUNG	2
NCIN87_STOMACH	0
NIHOVCAR3_OVARY	2
NUGC3_STOMACH	0
NUGC4_STOMACH	0
OAW42_OVARY	1
OCUM1_STOMACH	0
OE19_OESOPHAGUS	2
ONS76_CENTRAL_NERVOUS_SYSTEM	0
OSRC2_KIDNEY	1
OV90_OVARY	1
OVCAR4_OVARY	2
OVCAR8_OVARY	6
OVSAHO_OVARY	5
PANC0327_PANCREAS	0
PANC1005_PANCREAS	0
PANC1_PANCREAS	0
PATU8988T_PANCREAS	0
PC14_LUNG	0
PC3_PROSTATE	4
PLCPRF5_LIVER	0
QGP1_PANCREAS	3
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1
RERFGC1B_STOMACH	2
RERFLCMS_LUNG	0
RKN_SOFT_TISSUE	0
RL952_ENDOMETRIUM	1
RMGI_OVARY	7
RPMI7951_SKIN	0
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
RT112_URINARY_TRACT	1
RVH421_SKIN	1
SBC5_LUNG	1
SCABER_URINARY_TRACT	1
SCC25_UPPER_AERODIGESTIVE_TRACT	0
SCC4_UPPER_AERODIGESTIVE_TRACT	0
SCLC21H_LUNG	2
SF295_CENTRAL_NERVOUS_SYSTEM	1
SH10TC_STOMACH	0
SHP77_LUNG	0
SKCO1_LARGE_INTESTINE	0
SKLMS1_SOFT_TISSUE	0
SKLU1_LUNG	0
SKMEL24_SKIN	0
SKMEL2_SKIN	1
SKMEL30_SKIN	0
SKMEL5_SKIN	0
SKMES1_LUNG	1
SKOV3_OVARY	4
SNU119_OVARY	1
SNU16_STOMACH	1
SNU182_LIVER	2
SNU1_STOMACH	0
SNU387_LIVER	0
SNU423_LIVER	0
SNU449_LIVER	0
SNU475_LIVER	1
SNUC2A_LARGE_INTESTINE	0
SUIT2_PANCREAS	1
SW1271_LUNG	0
SW1783_CENTRAL_NERVOUS_SYSTEM	1
SW1990_PANCREAS	0
SW480_LARGE_INTESTINE	1
SW48_LARGE_INTESTINE	0
SW579_THYROID	2
SW900_LUNG	1
SW948_LARGE_INTESTINE	0
T24_URINARY_TRACT	0
T47D_BREAST	1
T84_LARGE_INTESTINE	0
TE11_OESOPHAGUS	1
TE1_OESOPHAGUS	1
TE5_OESOPHAGUS	3
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2
U251MG_CENTRAL_NERVOUS_SYSTEM	2
U2OS_BONE	0
UACC257_SKIN	0
UACC812_BREAST	4
UACC893_BREAST	2
VMCUB1_URINARY_TRACT	0
ZR751_BREAST	1
